run_id,finding_id,car_id,car_chassis,car_display_name,car_slug,subcategory_id,subcategory_code,subcategory_name,realoem_diagram_id,realoem_diagram_url,realoem_part_count,our_part_count,parts_backfilled,status,inserted_part_numbers,created_at
40,74795,219,G30,G30 530iX B46,g30-530ix-b46-58529,697646,36_2370,"BMW LA wheel double spoke 668M - 20""",36_2370,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2370,13,13,0,clean,,2026-05-03T02:05:39.836Z
40,74796,219,G30,G30 530iX B46,g30-530ix-b46-58529,697642,36_2371,"BMW LA wheel V-spoke 759i - 20""",36_2371,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2371,12,12,0,clean,,2026-05-03T02:05:39.936Z
40,74797,219,G30,G30 530iX B46,g30-530ix-b46-58529,697630,36_2640,"BMW LA wheel Y-spoke 636 - 20""",36_2640,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2640,12,12,0,clean,,2026-05-03T02:05:47.935Z
40,74798,219,G30,G30 530iX B46,g30-530ix-b46-58529,697167,03_5236,"BMW LA wheel V-spoke 635 - 19""",36_2367,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2367,12,2,12,backfilled,36116863422|36116863423|36136890324|36136850834|36121116326|36141095389|36121120779|36106887147|36106887146|36106874842|36146872777|36146872776|36118747237|36118747405|36118747236|36118747234|36118747406|36118747235|36112228660,2026-05-03T02:05:51.336Z
40,74799,219,G30,G30 530iX B46,g30-530ix-b46-58529,697167,03_5236,"BMW LA wheel V-spoke 635 - 19""",36_2694,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2694,13,14,3,backfilled,36116863422|36116863423|36136890324|36136850834|36121116326|36141095389|36121120779|36106887147|36106887146|36106874842|36146872777|36146872776|36118747237|36118747405|36118747236|36118747234|36118747406|36118747235|36112228660,2026-05-03T02:05:58.562Z
40,74800,219,G30,G30 530iX B46,g30-530ix-b46-58529,697167,03_5236,"BMW LA wheel V-spoke 635 - 19""",36_2693,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2693,15,14,4,backfilled,36116863422|36116863423|36136890324|36136850834|36121116326|36141095389|36121120779|36106887147|36106887146|36106874842|36146872777|36146872776|36118747237|36118747405|36118747236|36118747234|36118747406|36118747235|36112228660,2026-05-03T02:05:58.770Z
40,74801,219,G30,G30 530iX B46,g30-530ix-b46-58529,697644,36_2368,"BMW LA wheel double spoke 662M - 18""",36_2707,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2707,13,15,2,backfilled,36108093915|36108093916,2026-05-03T02:06:21.236Z
40,74802,219,G30,G30 530iX B46,g30-530ix-b46-58529,697164,03_5442,"BMW LA wheel double spoke 634 - 18""",36_2697,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2697,11,14,1,backfilled,36116863420|36136890324|36136850834|36121116326|36141095389|36121120779|36106887147|36106887146|36106874842|36146872777|36146872776|36116894842,2026-05-03T02:06:21.635Z
40,74803,219,G30,G30 530iX B46,g30-530ix-b46-58529,1224192,36_2695,"BMW LA WHEEL AERODYNAMICS 1001I - 20""",36_2696,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2696,14,0,14,backfilled,36136899078|36136889172|36136899079|36136899080|36136890324|36136850834|36121116326|36141095389|36121120779|36106887147|36106887146|36106874842|36146872777|36146872776|36116895212|36116895213|36116856013|36116856014|36116856018|36121116326|36141095389|36121120779|36106887147|36106874842|36146872777,2026-05-03T02:06:24.036Z
40,74804,219,G30,G30 530iX B46,g30-530ix-b46-58529,1224192,36_2695,"BMW LA WHEEL AERODYNAMICS 1001I - 20""",36_2695,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2695,16,0,11,backfilled,36136899078|36136889172|36136899079|36136899080|36136890324|36136850834|36121116326|36141095389|36121120779|36106887147|36106887146|36106874842|36146872777|36146872776|36116895212|36116895213|36116856013|36116856014|36116856018|36121116326|36141095389|36121120779|36106887147|36106874842|36146872777,2026-05-03T02:06:25.535Z
40,74805,219,G30,G30 530iX B46,g30-530ix-b46-58529,697648,36_2907,Set wheel locks,36_2907,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2907,1,1,0,clean,,2026-05-03T02:06:58.883Z
40,74806,219,G30,G30 530iX B46,g30-530ix-b46-58529,697647,36_2828,Balance weight,36_2828,https://www.realoem.com/bmw/enUS/showparts?id=13BJ-USA-09-2019-G30N-BMW-530iX&diagId=36_2828,0,0,0,parser_drift,,2026-05-03T02:06:59.053Z
